scenario_id,label_detection,label_pipe,group,P2_mae,P2_rmse,P2_r2,P3_mae,P3_rmse,P3_r2,P5_mae,P5_rmse,P5_r2,P6_mae,P6_rmse,P6_r2,Q2a_mae,Q2a_rmse,Q2a_r2,Q4a_mae,Q4a_rmse,Q4a_r2,Q5a_mae,Q5a_rmse,Q5a_r2
scenario_00001,0,-1,no-leak,5e-06,8e-06,1.0,0.005527,0.011702,0.991069,0.088923,0.168562,0.532263,0.090071,0.16986,0.561704,5e-06,1e-05,0.9872,1.8e-05,3.3e-05,-6288.739258,1.8e-05,3.4e-05,-2.362558
scenario_00005,0,-1,no-leak,8.4e-05,0.00028,0.998946,0.002106,0.003672,0.971385,0.012841,0.018519,0.758047,0.015711,0.023939,0.01399,2e-06,3e-06,0.94818,3e-06,4e-06,0.224045,3e-06,5e-06,0.0
scenario_00006,0,-1,no-leak,1e-05,1.4e-05,1.0,0.101183,0.181755,0.984447,0.556972,0.916714,0.827111,0.79162,1.452844,0.874959,7e-05,0.000126,0.975413,8.8e-05,0.000146,-40.340378,0.000135,0.000235,0.493538
scenario_00002,0,-1,no-leak,7e-06,1e-05,1.0,0.012066,0.01759,0.995179,0.484193,0.637084,0.549101,0.294314,0.347825,0.339548,1e-05,1.4e-05,0.992553,9.4e-05,0.000121,-0.191885,5.9e-05,7e-05,-13.747625
scenario_00004,0,-1,no-leak,0.00393,0.013555,0.982121,0.028816,0.044764,0.990856,0.424171,0.531215,0.712939,0.311645,0.351606,0.787782,1.9e-05,3.1e-05,0.98886,8.4e-05,0.000104,0.151776,6.2e-05,7.1e-05,-0.605644
scenario_00003,0,-1,no-leak,5e-06,8e-06,1.0,0.012907,0.018652,0.989335,0.427805,0.550457,0.611377,0.305029,0.365087,0.162422,1.1e-05,1.5e-05,0.983945,8.4e-05,0.000106,-0.042294,6.2e-05,7.3e-05,-4.634034
scenario_00009,0,-1,no-leak,2e-06,4e-06,1.0,0.001698,0.00322,0.985656,0.021083,0.036945,0.383209,0.025874,0.048041,0.833994,1e-06,3e-06,0.976879,4e-06,8e-06,0.0,5e-06,1e-05,0.562709
scenario_00007,0,-1,no-leak,2e-06,5e-06,0.999999,0.001693,0.003355,0.699061,0.014097,0.015849,-0.842894,0.016177,0.022846,-9.538378,1e-06,3e-06,-3.646326,3e-06,3e-06,-4.563527,3e-06,4e-06,0.0
scenario_00011,0,-1,no-leak,1e-06,3e-06,1.0,0.001788,0.003571,0.878345,0.015124,0.018781,-0.607454,0.016491,0.0219,0.61972,2e-06,3e-06,0.410841,3e-06,4e-06,-55.854851,3e-06,4e-06,-0.03406
scenario_00008,0,-1,no-leak,0.000914,0.003147,0.995649,0.004855,0.010168,0.995356,0.131412,0.171479,0.810123,0.213228,0.2507,0.355974,3e-06,6e-06,0.99523,2.9e-05,3.6e-05,0.057325,4.6e-05,5.4e-05,-3.837016
scenario_00010,0,-1,no-leak,7e-06,1.7e-05,1.0,0.018911,0.040488,0.992457,0.198697,0.247937,0.883364,0.216623,0.243804,0.774599,1.6e-05,3.5e-05,0.984653,3.9e-05,5e-05,0.001432,4.2e-05,4.9e-05,-1.738813
scenario_00012,0,-1,no-leak,6e-06,9e-06,1.0,0.027017,0.039339,0.996021,0.858418,1.493239,0.692732,0.555202,0.772345,0.592638,2.1e-05,3e-05,0.993844,0.000142,0.000233,0.370173,0.000106,0.000146,-3.54708
scenario_00017,0,-1,no-leak,7e-06,1.8e-05,1.0,0.001822,0.003624,0.986971,0.014555,0.020067,0.667855,0.01752,0.026008,0.776044,2e-06,3e-06,0.705764,3e-06,4e-06,0.0,4e-06,6e-06,0.101987
scenario_00013,0,-1,no-leak,3e-06,6e-06,0.999998,0.001624,0.003227,0.808743,0.017344,0.02393,0.488847,0.014693,0.021291,-1.711095,1e-06,3e-06,0.613063,4e-06,5e-06,-0.133768,3e-06,4e-06,0.0
scenario_00015,0,-1,no-leak,5e-06,7e-06,1.0,0.002901,0.004411,0.997909,0.064828,0.10481,0.83629,0.132186,0.211695,0.715412,2e-06,4e-06,0.996681,1.3e-05,2.2e-05,-0.161651,2.7e-05,4.4e-05,0.298637
scenario_00016,0,-1,no-leak,6e-06,9e-06,1.0,0.017249,0.036386,0.997222,0.071139,0.109341,0.985796,0.086247,0.132674,0.968848,1.3e-05,2.7e-05,0.996004,1.9e-05,2.7e-05,0.45403,1.5e-05,2.3e-05,0.0
scenario_00014,0,-1,no-leak,0.01651,0.057176,0.902891,0.10025,0.221203,0.920841,0.507653,0.841995,0.653648,1.189729,2.104578,0.648506,6e-05,0.000117,0.935829,0.00012,0.000177,-11.826211,0.000171,0.000267,0.349035
scenario_00018,0,-1,no-leak,9e-06,1.3e-05,1.0,0.10526,0.26901,0.861334,0.606874,1.06434,0.394631,0.886159,1.676697,0.802158,7.1e-05,0.000173,0.823602,9.8e-05,0.000158,-136.284561,0.000148,0.000265,0.485712
scenario_00019,0,-1,no-leak,2e-06,6e-06,1.0,0.002909,0.005703,0.97842,0.068819,0.108643,0.718335,0.046256,0.063392,0.315035,3e-06,5e-06,0.966197,1.5e-05,2.3e-05,0.268604,9e-06,1.3e-05,0.0
scenario_00020,0,-1,no-leak,9e-06,1.2e-05,1.0,0.023784,0.042291,0.995089,0.149057,0.172181,0.954321,0.164393,0.217713,0.92491,1.8e-05,3.2e-05,0.993236,3.1e-05,3.5e-05,0.141209,3.4e-05,4.4e-05,-0.087086
scenario_00022,0,-1,no-leak,0.026237,0.090831,0.474953,0.123495,0.361685,0.470435,0.231963,0.406491,0.420052,0.232745,0.406899,0.375069,7.6e-05,0.000212,0.473706,2.7e-05,3.8e-05,0.086963,2.4e-05,3.2e-05,-3.001529
scenario_00023,0,-1,no-leak,4.5e-05,0.000135,0.99996,0.003111,0.004914,0.997296,0.06563,0.086498,0.764331,0.117574,0.165338,0.779671,3e-06,4e-06,0.995634,1.3e-05,1.8e-05,-7.48305,2.5e-05,3.5e-05,0.312948
scenario_00021,0,-1,no-leak,1.6e-05,4.3e-05,0.999971,0.002158,0.004145,0.972973,0.011049,0.018025,0.775072,0.015036,0.024432,0.134805,2e-06,4e-06,0.94785,2e-06,4e-06,0.342744,3e-06,5e-06,0.0
