scenario_id,group,true_pipe,sensor,mae,rmse,r2
scenario_00001,pipe-1,1,P2,0.013698,0.015005,-10.8036
scenario_00001,pipe-1,1,P3,0.001203,0.002782,0.9803
scenario_00001,pipe-1,1,P5,0.015493,0.025749,0.5777
scenario_00001,pipe-1,1,P6,0.019249,0.041053,0.7901
scenario_00001,pipe-1,1,Q2a,1.1e-05,1.2e-05,0.1865
scenario_00001,pipe-1,1,Q4a,3e-06,5e-06,-2.4681
scenario_00001,pipe-1,1,Q5a,4e-06,9e-06,0.4467
scenario_00001,pipe-1,1,OVERALL,0.007094,,
scenario_00002,pipe-1,1,P2,0.014089,0.015437,0.8276
scenario_00002,pipe-1,1,P3,0.006692,0.014308,0.9929
scenario_00002,pipe-1,1,P5,0.259639,0.420437,0.7209
scenario_00002,pipe-1,1,P6,0.160816,0.230152,0.4891
scenario_00002,pipe-1,1,Q2a,1.2e-05,1.3e-05,0.9864
scenario_00002,pipe-1,1,Q4a,5.2e-05,8.1e-05,0.3093
scenario_00002,pipe-1,1,Q5a,3.3e-05,4.7e-05,-19.971
scenario_00002,pipe-1,1,OVERALL,0.063048,,
scenario_00003,pipe-1,1,P2,0.016116,0.016874,0.9455
scenario_00003,pipe-1,1,P3,0.022632,0.04397,0.9837
scenario_00003,pipe-1,1,P5,0.199563,0.393523,0.5837
scenario_00003,pipe-1,1,P6,0.320765,0.795873,0.7784
scenario_00003,pipe-1,1,Q2a,2e-05,3e-05,0.9818
scenario_00003,pipe-1,1,Q4a,3.8e-05,7.3e-05,-53.8679
scenario_00003,pipe-1,1,Q5a,5.6e-05,0.00013,0.5103
scenario_00003,pipe-1,1,OVERALL,0.079884,,
scenario_00004,pipe-1,1,P2,0.014573,0.015711,0.9715
scenario_00004,pipe-1,1,P3,0.013912,0.023521,0.9964
scenario_00004,pipe-1,1,P5,0.3602,0.566283,0.6483
scenario_00004,pipe-1,1,P6,0.347407,0.536362,0.5028
scenario_00004,pipe-1,1,Q2a,1.2e-05,1.5e-05,0.9961
scenario_00004,pipe-1,1,Q4a,7e-05,0.000109,-0.4859
scenario_00004,pipe-1,1,Q5a,6.8e-05,0.000105,0.0
scenario_00004,pipe-1,1,OVERALL,0.105177,,
scenario_00005,pipe-1,1,P2,0.015558,0.01748,0.9324
scenario_00005,pipe-1,1,P3,0.011412,0.045569,0.7892
scenario_00005,pipe-1,1,P5,0.068691,0.155571,-0.0765
scenario_00005,pipe-1,1,P6,0.067082,0.154938,-0.1017
scenario_00005,pipe-1,1,Q2a,1.9e-05,3.4e-05,0.3663
scenario_00005,pipe-1,1,Q4a,1.1e-05,2e-05,-8.566
scenario_00005,pipe-1,1,Q5a,1e-05,2e-05,0.0
scenario_00005,pipe-1,1,OVERALL,0.023255,,
scenario_00006,pipe-1,1,P2,0.0146,0.01564,0.7798
scenario_00006,pipe-1,1,P3,0.004932,0.012191,0.9811
scenario_00006,pipe-1,1,P5,0.115481,0.159455,0.6755
scenario_00006,pipe-1,1,P6,0.072954,0.090291,0.6345
scenario_00006,pipe-1,1,Q2a,1.2e-05,1.4e-05,0.9492
scenario_00006,pipe-1,1,Q4a,2.3e-05,3.3e-05,0.2631
scenario_00006,pipe-1,1,Q5a,1.6e-05,1.9e-05,-0.5241
scenario_00006,pipe-1,1,OVERALL,0.029717,,
scenario_00007,pipe-1,1,P2,0.013765,0.015079,-0.3408
scenario_00007,pipe-1,1,P3,0.00103,0.00224,0.9983
scenario_00007,pipe-1,1,P5,0.02199,0.041528,0.679
scenario_00007,pipe-1,1,P6,0.022254,0.04217,0.894
scenario_00007,pipe-1,1,Q2a,1.1e-05,1.2e-05,0.8866
scenario_00007,pipe-1,1,Q4a,5e-06,9e-06,0.0
scenario_00007,pipe-1,1,Q5a,5e-06,9e-06,0.6432
scenario_00007,pipe-1,1,OVERALL,0.008437,,
scenario_00008,pipe-1,1,P2,0.015451,0.017092,0.3345
scenario_00008,pipe-1,1,P3,0.00341,0.00738,0.9905
scenario_00008,pipe-1,1,P5,0.084137,0.128035,0.7578
scenario_00008,pipe-1,1,P6,0.070798,0.091999,0.4006
scenario_00008,pipe-1,1,Q2a,1.1e-05,1.2e-05,0.9402
scenario_00008,pipe-1,1,Q4a,1.8e-05,2.7e-05,0.4292
scenario_00008,pipe-1,1,Q5a,1.5e-05,2e-05,-19.2518
scenario_00008,pipe-1,1,OVERALL,0.024834,,
scenario_00009,pipe-1,1,P2,0.015426,0.016593,0.9673
scenario_00009,pipe-1,1,P3,0.022277,0.039985,0.992
scenario_00009,pipe-1,1,P5,0.165013,0.386059,0.6785
scenario_00009,pipe-1,1,P6,0.313886,0.865842,0.765
scenario_00009,pipe-1,1,Q2a,1.8e-05,2.6e-05,0.9917
scenario_00009,pipe-1,1,Q4a,2.9e-05,7.2e-05,-144.829
scenario_00009,pipe-1,1,Q5a,5.3e-05,0.000139,0.4957
scenario_00009,pipe-1,1,OVERALL,0.073815,,
scenario_00010,pipe-1,1,P2,0.013775,0.015052,-0.8405
scenario_00010,pipe-1,1,P3,0.001569,0.002983,0.993
scenario_00010,pipe-1,1,P5,0.036128,0.07764,0.7939
scenario_00010,pipe-1,1,P6,0.025749,0.044236,0.5507
scenario_00010,pipe-1,1,Q2a,1.1e-05,1.2e-05,0.7183
scenario_00010,pipe-1,1,Q4a,7e-06,1.6e-05,0.4818
scenario_00010,pipe-1,1,Q5a,5e-06,9e-06,0.0
scenario_00010,pipe-1,1,OVERALL,0.011035,,
scenario_00011,pipe-1,1,P2,0.013724,0.01503,0.9767
scenario_00011,pipe-1,1,P3,0.005066,0.012378,0.9959
scenario_00011,pipe-1,1,P5,0.081861,0.14747,0.7813
scenario_00011,pipe-1,1,P6,0.092332,0.160204,0.7263
scenario_00011,pipe-1,1,Q2a,1.3e-05,1.5e-05,0.9694
scenario_00011,pipe-1,1,Q4a,1.7e-05,2.9e-05,-48.8792
scenario_00011,pipe-1,1,Q5a,1.9e-05,3.2e-05,-7678.3531
scenario_00011,pipe-1,1,OVERALL,0.027576,,
scenario_00012,pipe-1,1,P2,0.014753,0.015875,0.9702
scenario_00012,pipe-1,1,P3,0.008444,0.013291,0.9991
scenario_00012,pipe-1,1,P5,0.184412,0.282097,0.759
scenario_00012,pipe-1,1,P6,0.095596,0.131395,0.9198
scenario_00012,pipe-1,1,Q2a,9e-06,1e-05,0.9986
scenario_00012,pipe-1,1,Q4a,3.8e-05,5.6e-05,0.3285
scenario_00012,pipe-1,1,Q5a,2e-05,2.7e-05,-2.4038
scenario_00012,pipe-1,1,OVERALL,0.043325,,
scenario_00013,pipe-1,1,P2,0.01371,0.015019,-3.1393
scenario_00013,pipe-1,1,P3,0.001243,0.002759,0.9934
scenario_00013,pipe-1,1,P5,0.016169,0.039112,0.6322
scenario_00013,pipe-1,1,P6,0.026252,0.075942,0.8017
scenario_00013,pipe-1,1,Q2a,1.1e-05,1.2e-05,0.7251
scenario_00013,pipe-1,1,Q4a,3e-06,8e-06,0.0
scenario_00013,pipe-1,1,Q5a,5e-06,1.6e-05,0.5053
scenario_00013,pipe-1,1,OVERALL,0.008199,,
scenario_00014,pipe-1,1,P2,0.013936,0.015267,0.5425
scenario_00014,pipe-1,1,P3,0.002055,0.003215,0.9987
scenario_00014,pipe-1,1,P5,0.081077,0.095922,0.8398
scenario_00014,pipe-1,1,P6,0.079355,0.106238,0.6929
scenario_00014,pipe-1,1,Q2a,1.1e-05,1.2e-05,0.9627
scenario_00014,pipe-1,1,Q4a,1.7e-05,2e-05,0.4119
scenario_00014,pipe-1,1,Q5a,1.7e-05,2.2e-05,-0.1367
scenario_00014,pipe-1,1,OVERALL,0.02521,,
scenario_00015,pipe-1,1,P2,0.015226,0.017506,0.9707
scenario_00015,pipe-1,1,P3,0.01951,0.044693,0.9915
scenario_00015,pipe-1,1,P5,0.293666,0.589161,0.6078
scenario_00015,pipe-1,1,P6,0.609196,1.424686,0.7317
scenario_00015,pipe-1,1,Q2a,1.9e-05,3.1e-05,0.9899
scenario_00015,pipe-1,1,Q4a,5.4e-05,0.000111,-239.4897
scenario_00015,pipe-1,1,Q5a,9.5e-05,0.000214,0.4591
scenario_00015,pipe-1,1,OVERALL,0.133967,,
scenario_00016,pipe-1,1,P2,0.013815,0.015135,0.4878
scenario_00016,pipe-1,1,P3,0.002074,0.003742,0.9982
scenario_00016,pipe-1,1,P5,0.098991,0.221139,0.7831
scenario_00016,pipe-1,1,P6,0.056765,0.111503,0.5897
scenario_00016,pipe-1,1,Q2a,1e-05,1.2e-05,0.9624
scenario_00016,pipe-1,1,Q4a,2e-05,4.4e-05,0.4758
scenario_00016,pipe-1,1,Q5a,1.2e-05,2.3e-05,0.0
scenario_00016,pipe-1,1,OVERALL,0.024527,,
