group,sensor,mae,rmse,r2
no-leak,P2,3.8e-05,0.000149,0.999467
no-leak,P3,0.007474,0.016024,0.993543
no-leak,P5,0.284659,0.443864,0.683097
no-leak,P6,0.198352,0.353368,0.648513
no-leak,Q2a,6e-06,1.3e-05,0.989552
no-leak,Q4a,4.9e-05,7.6e-05,-35.584313
no-leak,Q5a,3.7e-05,6.4e-05,-369.379872
pipe-1,P2,0.02661,0.029334,-2.026048
pipe-1,P3,0.008087,0.017717,0.991579
pipe-1,P5,0.28583,0.444947,0.678649
pipe-1,P6,0.199519,0.354379,0.64654
pipe-1,Q2a,2.3e-05,2.8e-05,0.364977
pipe-1,Q4a,4.9e-05,7.6e-05,-35.743844
pipe-1,Q5a,3.7e-05,6.4e-05,-369.847111
pipe-2,P2,0.000132,0.000553,0.987604
pipe-2,P3,0.008005,0.017271,0.981581
pipe-2,P5,0.285909,0.446126,0.689309
pipe-2,P6,0.199162,0.354785,0.665226
pipe-2,Q2a,7.8e-05,8.6e-05,0.082913
pipe-2,Q4a,4.9e-05,7.6e-05,-35.917377
pipe-2,Q5a,3.7e-05,6.4e-05,-369.382932
pipe-3,P2,0.000116,0.000455,0.970887
pipe-3,P3,0.119537,0.132434,0.195447
pipe-3,P5,0.468295,0.586563,-0.291503
pipe-3,P6,0.436846,0.554889,-0.74047
pipe-3,Q2a,9.8e-05,0.000108,-0.451757
pipe-3,Q4a,8.7e-05,0.000106,-139.152167
pipe-3,Q5a,8.6e-05,0.000105,-2401.160908
pipe-4,P2,0.001251,0.004175,-0.01259
pipe-4,P3,0.015901,0.043035,-0.762523
pipe-4,P5,0.488529,0.648782,0.020313
pipe-4,P6,0.447383,0.584319,-1.024855
pipe-4,Q2a,1e-05,2.2e-05,0.48404
pipe-4,Q4a,0.000141,0.000163,-1.829229
pipe-4,Q5a,8.7e-05,0.000106,-2386.931572
pipe-5,P2,0.000151,0.000447,0.986884
pipe-5,P3,0.009013,0.019609,0.985443
pipe-5,P5,0.47763,0.595193,0.022782
pipe-5,P6,0.373557,0.510864,0.558064
pipe-5,Q2a,7e-06,1.5e-05,0.981875
pipe-5,Q4a,8.9e-05,0.000108,-146.495962
pipe-5,Q5a,0.00012,0.000141,-3.131617
