scenario_id,group,true_detection,true_pipe,true_position,pred_detection,pred_pipe,pred_position,det_prob_leak,det_correct,pipe_correct
scenario_00005,no-leak,0,-1,-1.0,0,,0.3412,0.0001,True,
scenario_00003,no-leak,0,-1,-1.0,1,5.0,0.3966,1.0,False,
scenario_00004,no-leak,0,-1,-1.0,1,1.0,0.4281,1.0,False,
scenario_00001,no-leak,0,-1,-1.0,0,,0.2883,0.0001,True,
scenario_00007,no-leak,0,-1,-1.0,0,,0.4126,0.0002,True,
scenario_00008,no-leak,0,-1,-1.0,1,1.0,0.573,0.6267,False,
scenario_00009,no-leak,0,-1,-1.0,0,,0.3892,0.0007,True,
scenario_00010,no-leak,0,-1,-1.0,0,,0.4674,0.0015,True,
scenario_00011,no-leak,0,-1,-1.0,0,,0.3872,0.0001,True,
scenario_00012,no-leak,0,-1,-1.0,1,2.0,0.5219,1.0,False,
scenario_00013,no-leak,0,-1,-1.0,0,,0.3618,0.0003,True,
scenario_00014,no-leak,0,-1,-1.0,0,,0.4485,0.0042,True,
scenario_00015,no-leak,0,-1,-1.0,0,,0.4351,0.0003,True,
scenario_00016,no-leak,0,-1,-1.0,1,1.0,0.3363,0.6025,False,
scenario_00018,no-leak,0,-1,-1.0,0,,0.3315,0.0144,True,
scenario_00017,no-leak,0,-1,-1.0,0,,0.5107,0.0004,True,
scenario_00019,no-leak,0,-1,-1.0,0,,0.4526,0.0638,True,
scenario_00020,no-leak,0,-1,-1.0,1,3.0,0.6805,1.0,False,
scenario_00021,no-leak,0,-1,-1.0,0,,0.3923,0.0001,True,
scenario_00022,no-leak,0,-1,-1.0,1,2.0,0.4952,0.9893,False,
scenario_00024,no-leak,0,-1,-1.0,0,,0.2722,0.0007,True,
scenario_00023,no-leak,0,-1,-1.0,0,,0.5215,0.0174,True,
scenario_00025,no-leak,0,-1,-1.0,0,,0.387,0.0003,True,
scenario_00026,no-leak,0,-1,-1.0,0,,0.6765,0.1686,True,
scenario_00027,no-leak,0,-1,-1.0,0,,0.5797,0.0001,True,
scenario_00028,no-leak,0,-1,-1.0,0,,0.4821,0.0097,True,
scenario_00029,no-leak,0,-1,-1.0,0,,0.2937,0.0001,True,
scenario_00030,no-leak,0,-1,-1.0,1,3.0,0.8338,1.0,False,
scenario_00031,no-leak,0,-1,-1.0,1,5.0,0.4171,1.0,False,
scenario_00032,no-leak,0,-1,-1.0,1,1.0,0.3148,0.9999,False,
scenario_00033,no-leak,0,-1,-1.0,0,,0.3428,0.0001,True,
scenario_00034,no-leak,0,-1,-1.0,1,1.0,0.5652,0.9999,False,
scenario_00035,no-leak,0,-1,-1.0,0,,0.4124,0.0002,True,
scenario_00036,no-leak,0,-1,-1.0,1,1.0,0.6341,0.9811,False,
