scenario_id,scenario,source_inp,true_detect,pred_detect,detect_correct,true_pipe,pred_pipe,pipe_correct,true_pos,pred_pos,pos_error,true_size,tp_pipe,fp_pipe,fn_pipe,tp_pos,fp_pos,fn_pos
1,scenario_00001,base3.inp,0,0,1,-1,1,0,-1.0,0.3367,,none,0,0,0,0,0,0
2,scenario_00002,base3.inp,0,1,0,-1,3,0,-1.0,0.7769,,none,0,0,0,0,0,0
3,scenario_00003,base3.inp,0,1,0,-1,4,0,-1.0,0.5766,,none,0,0,0,0,0,0
4,scenario_00004,base3.inp,0,1,0,-1,1,0,-1.0,0.4417,,none,0,0,0,0,0,0
5,scenario_00005,base3.inp,0,0,1,-1,1,0,-1.0,0.3362,,none,0,0,0,0,0,0
6,scenario_00006,base3.inp,0,1,0,-1,1,0,-1.0,0.5834,,none,0,0,0,0,0,0
7,scenario_00007,base3.inp,0,0,1,-1,1,0,-1.0,0.4067,,none,0,0,0,0,0,0
8,scenario_00008,base3.inp,0,1,0,-1,1,0,-1.0,0.5861,,none,0,0,0,0,0,0
9,scenario_00009,base3.inp,0,0,1,-1,1,0,-1.0,0.3518,,none,0,0,0,0,0,0
10,scenario_00010,base3.inp,0,0,1,-1,1,0,-1.0,0.4428,,none,0,0,0,0,0,0
11,scenario_00011,base3.inp,0,0,1,-1,1,0,-1.0,0.3841,,none,0,0,0,0,0,0
12,scenario_00012,base3.inp,0,1,0,-1,2,0,-1.0,0.5434,,none,0,0,0,0,0,0
13,scenario_00013,base3.inp,0,0,1,-1,1,0,-1.0,0.3585,,none,0,0,0,0,0,0
14,scenario_00014,base3.inp,0,0,1,-1,4,0,-1.0,0.4343,,none,0,0,0,0,0,0
15,scenario_00015,base3.inp,0,0,1,-1,1,0,-1.0,0.4868,,none,0,0,0,0,0,0
16,scenario_00016,base3.inp,0,1,0,-1,1,0,-1.0,0.3398,,none,0,0,0,0,0,0
17,scenario_00017,base3.inp,0,0,1,-1,1,0,-1.0,0.5153,,none,0,0,0,0,0,0
18,scenario_00018,base3.inp,0,0,1,-1,1,0,-1.0,0.3821,,none,0,0,0,0,0,0
19,scenario_00019,base3.inp,0,0,1,-1,1,0,-1.0,0.4271,,none,0,0,0,0,0,0
20,scenario_00020,base3.inp,0,1,0,-1,2,0,-1.0,0.651,,none,0,0,0,0,0,0
21,scenario_00021,base3.inp,0,0,1,-1,1,0,-1.0,0.4102,,none,0,0,0,0,0,0
22,scenario_00022,base3.inp,0,1,0,-1,1,0,-1.0,0.4376,,none,0,0,0,0,0,0
23,scenario_00023,base3.inp,0,1,0,-1,5,0,-1.0,0.5185,,none,0,0,0,0,0,0
24,scenario_00024,base3.inp,0,0,1,-1,1,0,-1.0,0.2601,,none,0,0,0,0,0,0
25,scenario_00025,base3.inp,0,0,1,-1,1,0,-1.0,0.3966,,none,0,0,0,0,0,0
26,scenario_00026,base3.inp,0,0,1,-1,1,0,-1.0,0.6664,,none,0,0,0,0,0,0
27,scenario_00027,base3.inp,0,0,1,-1,1,0,-1.0,0.3898,,none,0,0,0,0,0,0
28,scenario_00028,base3.inp,0,0,1,-1,3,0,-1.0,0.533,,none,0,0,0,0,0,0
29,scenario_00029,base3.inp,0,0,1,-1,1,0,-1.0,0.3448,,none,0,0,0,0,0,0
30,scenario_00030,base3.inp,0,1,0,-1,4,0,-1.0,0.763,,none,0,0,0,0,0,0
31,scenario_00031,base3.inp,0,1,0,-1,4,0,-1.0,0.5758,,none,0,0,0,0,0,0
32,scenario_00032,base3.inp,0,1,0,-1,5,0,-1.0,0.3816,,none,0,0,0,0,0,0
33,scenario_00033,base3.inp,0,0,1,-1,1,0,-1.0,0.3396,,none,0,0,0,0,0,0
34,scenario_00034,base3.inp,0,1,0,-1,1,0,-1.0,0.5865,,none,0,0,0,0,0,0
35,scenario_00035,base3.inp,0,0,1,-1,1,0,-1.0,0.4066,,none,0,0,0,0,0,0
36,scenario_00036,base3.inp,0,1,0,-1,1,0,-1.0,0.6635,,none,0,0,0,0,0,0
37,scenario_00037,base3.inp,0,0,1,-1,1,0,-1.0,0.3521,,none,0,0,0,0,0,0
38,scenario_00038,base3.inp,0,0,1,-1,1,0,-1.0,0.4661,,none,0,0,0,0,0,0
39,scenario_00039,base3.inp,0,0,1,-1,1,0,-1.0,0.3863,,none,0,0,0,0,0,0
40,scenario_00040,base3.inp,0,1,0,-1,3,0,-1.0,0.5343,,none,0,0,0,0,0,0
41,scenario_00041,base3.inp,0,0,1,-1,1,0,-1.0,0.3579,,none,0,0,0,0,0,0
42,scenario_00042,base3.inp,0,0,1,-1,4,0,-1.0,0.4136,,none,0,0,0,0,0,0
43,scenario_00043,base3.inp,0,0,1,-1,1,0,-1.0,0.4604,,none,0,0,0,0,0,0
44,scenario_00044,base3.inp,0,0,1,-1,1,0,-1.0,0.2783,,none,0,0,0,0,0,0
45,scenario_00045,base3.inp,0,0,1,-1,1,0,-1.0,0.5293,,none,0,0,0,0,0,0
46,scenario_00046,base3.inp,0,0,1,-1,1,0,-1.0,0.3684,,none,0,0,0,0,0,0
47,scenario_00047,base3.inp,0,0,1,-1,1,0,-1.0,0.4211,,none,0,0,0,0,0,0
48,scenario_00048,base3.inp,0,1,0,-1,3,0,-1.0,0.6331,,none,0,0,0,0,0,0
49,scenario_00049,base3.inp,0,0,1,-1,1,0,-1.0,0.4094,,none,0,0,0,0,0,0
50,scenario_00050,base3.inp,0,1,0,-1,2,0,-1.0,0.4765,,none,0,0,0,0,0,0
51,scenario_00051,base3.inp,1,1,1,1,1,1,0.2,0.1446,0.0554,S,1,0,0,1,0,0
52,scenario_00052,base3.inp,1,1,1,1,3,0,0.2,0.6876,,S,0,1,1,0,1,1
53,scenario_00053,base3.inp,1,1,1,1,4,0,0.2,0.4121,,S,0,1,1,0,1,1
54,scenario_00054,base3.inp,1,1,1,1,1,1,0.2,0.4417,0.2417,S,1,0,0,1,0,0
55,scenario_00055,base3.inp,1,1,1,1,1,1,0.2,0.2452,0.0452,S,1,0,0,1,0,0
56,scenario_00056,base3.inp,1,1,1,1,1,1,0.2,0.4859,0.2859,S,1,0,0,0,1,1
57,scenario_00057,base3.inp,1,1,1,1,1,1,0.2,0.2726,0.0726,S,1,0,0,1,0,0
58,scenario_00058,base3.inp,1,1,1,1,1,1,0.2,0.382,0.182,S,1,0,0,1,0,0
59,scenario_00059,base3.inp,1,1,1,1,1,1,0.2,0.2217,0.0217,S,1,0,0,1,0,0
60,scenario_00060,base3.inp,1,1,1,1,1,1,0.2,0.2483,0.0483,S,1,0,0,1,0,0
61,scenario_00061,base3.inp,1,1,1,1,1,1,0.2,0.2715,0.0715,S,1,0,0,1,0,0
62,scenario_00062,base3.inp,1,1,1,1,2,0,0.2,0.4913,,S,0,1,1,0,1,1
63,scenario_00063,base3.inp,1,1,1,1,1,1,0.2,0.2558,0.0558,S,1,0,0,1,0,0
64,scenario_00064,base3.inp,1,1,1,1,1,1,0.2,0.1715,0.0285,S,1,0,0,1,0,0
65,scenario_00065,base3.inp,1,1,1,1,1,1,0.2,0.0882,0.1118,M,1,0,0,1,0,0
66,scenario_00066,base3.inp,1,1,1,1,2,0,0.2,0.6403,,M,0,1,1,0,1,1
67,scenario_00067,base3.inp,1,1,1,1,4,0,0.2,0.3216,,M,0,1,1,0,1,1
68,scenario_00068,base3.inp,1,1,1,1,1,1,0.2,0.4991,0.2991,M,1,0,0,0,1,1
69,scenario_00069,base3.inp,1,1,1,1,1,1,0.2,0.1294,0.0706,M,1,0,0,1,0,0
70,scenario_00070,base3.inp,1,1,1,1,1,1,0.2,0.4219,0.2219,M,1,0,0,1,0,0
71,scenario_00071,base3.inp,1,1,1,1,1,1,0.2,0.1363,0.0637,M,1,0,0,1,0,0
72,scenario_00072,base3.inp,1,1,1,1,1,1,0.2,0.3943,0.1943,M,1,0,0,1,0,0
73,scenario_00073,base3.inp,1,1,1,1,1,1,0.2,0.1089,0.0911,M,1,0,0,1,0,0
74,scenario_00074,base3.inp,1,1,1,1,1,1,0.2,0.1695,0.0305,M,1,0,0,1,0,0
