scenario_id,scenario,source_inp,true_detect,pred_detect,detect_correct,true_pipe,pred_pipe,pipe_correct,true_pos,pred_pos,pos_error,true_size,tp_pipe,fp_pipe,fn_pipe,tp_pos,fp_pos,fn_pos
1,scenario_00001,base3.inp,0,0,1,-1,5,0,-1.0,0.5351,,none,0,0,0,0,0,0
2,scenario_00002,base3.inp,0,1,0,-1,4,0,-1.0,0.5209,,none,0,0,0,0,0,0
3,scenario_00003,base3.inp,0,1,0,-1,4,0,-1.0,0.5401,,none,0,0,0,0,0,0
4,scenario_00004,base3.inp,0,1,0,-1,4,0,-1.0,0.5161,,none,0,0,0,0,0,0
5,scenario_00005,base3.inp,0,0,1,-1,4,0,-1.0,0.5466,,none,0,0,0,0,0,0
6,scenario_00006,base3.inp,0,1,0,-1,4,0,-1.0,0.5419,,none,0,0,0,0,0,0
7,scenario_00007,base3.inp,0,0,1,-1,4,0,-1.0,0.541,,none,0,0,0,0,0,0
8,scenario_00008,base3.inp,0,0,1,-1,4,0,-1.0,0.5513,,none,0,0,0,0,0,0
9,scenario_00009,base3.inp,0,0,1,-1,4,0,-1.0,0.5384,,none,0,0,0,0,0,0
10,scenario_00010,base3.inp,0,1,0,-1,4,0,-1.0,0.5392,,none,0,0,0,0,0,0
11,scenario_00011,base3.inp,0,0,1,-1,4,0,-1.0,0.5532,,none,0,0,0,0,0,0
12,scenario_00012,base3.inp,0,1,0,-1,4,0,-1.0,0.5275,,none,0,0,0,0,0,0
13,scenario_00013,base3.inp,0,0,1,-1,5,0,-1.0,0.5258,,none,0,0,0,0,0,0
14,scenario_00014,base3.inp,0,0,1,-1,4,0,-1.0,0.543,,none,0,0,0,0,0,0
15,scenario_00015,base3.inp,0,0,1,-1,4,0,-1.0,0.561,,none,0,0,0,0,0,0
16,scenario_00016,base3.inp,0,1,0,-1,4,0,-1.0,0.5416,,none,0,0,0,0,0,0
17,scenario_00017,base3.inp,0,0,1,-1,4,0,-1.0,0.5532,,none,0,0,0,0,0,0
18,scenario_00018,base3.inp,0,0,1,-1,4,0,-1.0,0.5485,,none,0,0,0,0,0,0
19,scenario_00019,base3.inp,0,0,1,-1,5,0,-1.0,0.5386,,none,0,0,0,0,0,0
20,scenario_00020,base3.inp,0,1,0,-1,4,0,-1.0,0.5146,,none,0,0,0,0,0,0
21,scenario_00021,base3.inp,0,0,1,-1,4,0,-1.0,0.5455,,none,0,0,0,0,0,0
22,scenario_00022,base3.inp,0,1,0,-1,4,0,-1.0,0.5384,,none,0,0,0,0,0,0
23,scenario_00023,base3.inp,0,1,0,-1,4,0,-1.0,0.5601,,none,0,0,0,0,0,0
24,scenario_00024,base3.inp,0,0,1,-1,4,0,-1.0,0.5293,,none,0,0,0,0,0,0
25,scenario_00025,base3.inp,0,0,1,-1,5,0,-1.0,0.5299,,none,0,0,0,0,0,0
26,scenario_00026,base3.inp,0,0,1,-1,4,0,-1.0,0.5332,,none,0,0,0,0,0,0
27,scenario_00027,base3.inp,0,0,1,-1,4,0,-1.0,0.544,,none,0,0,0,0,0,0
28,scenario_00028,base3.inp,0,1,0,-1,4,0,-1.0,0.5401,,none,0,0,0,0,0,0
29,scenario_00029,base3.inp,0,0,1,-1,5,0,-1.0,0.5357,,none,0,0,0,0,0,0
30,scenario_00030,base3.inp,0,1,0,-1,4,0,-1.0,0.5249,,none,0,0,0,0,0,0
31,scenario_00031,base3.inp,0,1,0,-1,4,0,-1.0,0.5391,,none,0,0,0,0,0,0
32,scenario_00032,base3.inp,0,1,0,-1,4,0,-1.0,0.526,,none,0,0,0,0,0,0
33,scenario_00033,base3.inp,0,0,1,-1,4,0,-1.0,0.5465,,none,0,0,0,0,0,0
