scenario_id,scenario,source_inp,true_detect,pred_detect,detect_correct,true_pipe,pred_pipe,pipe_correct,true_pos,pred_pos,pos_error,true_size,tp_pipe,fp_pipe,fn_pipe,tp_pos,fp_pos,fn_pos
1,scenario_00001,base3.inp,0,0,1,-1,1,0,-1.0,0.4183,,none,0,0,0,0,0,0
2,scenario_00002,base3.inp,0,1,0,-1,5,0,-1.0,0.5136,,none,0,0,0,0,0,0
3,scenario_00003,base3.inp,0,1,0,-1,5,0,-1.0,0.539,,none,0,0,0,0,0,0
4,scenario_00004,base3.inp,0,1,0,-1,3,0,-1.0,0.4785,,none,0,0,0,0,0,0
5,scenario_00005,base3.inp,0,0,1,-1,1,0,-1.0,0.4136,,none,0,0,0,0,0,0
6,scenario_00006,base3.inp,0,1,0,-1,2,0,-1.0,0.4943,,none,0,0,0,0,0,0
7,scenario_00007,base3.inp,0,0,1,-1,1,0,-1.0,0.4147,,none,0,0,0,0,0,0
8,scenario_00008,base3.inp,0,1,0,-1,3,0,-1.0,0.5171,,none,0,0,0,0,0,0
9,scenario_00009,base3.inp,0,0,1,-1,1,0,-1.0,0.4231,,none,0,0,0,0,0,0
10,scenario_00010,base3.inp,0,0,1,-1,2,0,-1.0,0.4937,,none,0,0,0,0,0,0
11,scenario_00011,base3.inp,0,0,1,-1,1,0,-1.0,0.4167,,none,0,0,0,0,0,0
12,scenario_00012,base3.inp,0,1,0,-1,3,0,-1.0,0.5236,,none,0,0,0,0,0,0
13,scenario_00013,base3.inp,0,0,1,-1,1,0,-1.0,0.4095,,none,0,0,0,0,0,0
14,scenario_00014,base3.inp,0,0,1,-1,1,0,-1.0,0.4551,,none,0,0,0,0,0,0
15,scenario_00015,base3.inp,0,0,1,-1,3,0,-1.0,0.4904,,none,0,0,0,0,0,0
16,scenario_00016,base3.inp,0,1,0,-1,2,0,-1.0,0.505,,none,0,0,0,0,0,0
17,scenario_00017,base3.inp,0,0,1,-1,1,0,-1.0,0.4215,,none,0,0,0,0,0,0
18,scenario_00018,base3.inp,0,0,1,-1,2,0,-1.0,0.5177,,none,0,0,0,0,0,0
19,scenario_00019,base3.inp,0,0,1,-1,1,0,-1.0,0.4351,,none,0,0,0,0,0,0
20,scenario_00020,base3.inp,0,1,0,-1,3,0,-1.0,0.5114,,none,0,0,0,0,0,0
21,scenario_00021,base3.inp,0,0,1,-1,1,0,-1.0,0.4308,,none,0,0,0,0,0,0
22,scenario_00022,base3.inp,0,0,1,-1,1,0,-1.0,0.4745,,none,0,0,0,0,0,0
23,scenario_00023,base3.inp,0,1,0,-1,3,0,-1.0,0.5065,,none,0,0,0,0,0,0
24,scenario_00024,base3.inp,0,0,1,-1,1,0,-1.0,0.4294,,none,0,0,0,0,0,0
25,scenario_00025,base3.inp,0,0,1,-1,1,0,-1.0,0.4264,,none,0,0,0,0,0,0
26,scenario_00026,base3.inp,0,1,0,-1,1,0,-1.0,0.4005,,none,0,0,0,0,0,0
