scenario_id,scenario,source_inp,true_detect,pred_detect,detect_correct,true_pipe,pred_pipe,pipe_correct,true_pos,pred_pos,pos_error,true_size,tp_pipe,fp_pipe,fn_pipe,tp_pos,fp_pos,fn_pos
1,scenario_00001,base3.inp,0,0,1,-1,5,0,-1.0,0.3784,,none,0,0,0,0,0,0
2,scenario_00002,base3.inp,0,1,0,-1,4,0,-1.0,0.66,,none,0,0,0,0,0,0
3,scenario_00003,base3.inp,0,1,0,-1,4,0,-1.0,0.6432,,none,0,0,0,0,0,0
4,scenario_00004,base3.inp,0,1,0,-1,3,0,-1.0,0.5298,,none,0,0,0,0,0,0
5,scenario_00005,base3.inp,0,0,1,-1,1,0,-1.0,0.3625,,none,0,0,0,0,0,0
6,scenario_00006,base3.inp,0,1,0,-1,5,0,-1.0,0.4533,,none,0,0,0,0,0,0
7,scenario_00007,base3.inp,0,0,1,-1,1,0,-1.0,0.3774,,none,0,0,0,0,0,0
8,scenario_00008,base3.inp,0,1,0,-1,2,0,-1.0,0.5401,,none,0,0,0,0,0,0
9,scenario_00009,base3.inp,0,0,1,-1,1,0,-1.0,0.396,,none,0,0,0,0,0,0
10,scenario_00010,base3.inp,0,0,1,-1,1,0,-1.0,0.395,,none,0,0,0,0,0,0
11,scenario_00011,base3.inp,0,0,1,-1,1,0,-1.0,0.4029,,none,0,0,0,0,0,0
12,scenario_00012,base3.inp,0,1,0,-1,4,0,-1.0,0.5194,,none,0,0,0,0,0,0
13,scenario_00013,base3.inp,0,0,1,-1,1,0,-1.0,0.35,,none,0,0,0,0,0,0
14,scenario_00014,base3.inp,0,1,0,-1,5,0,-1.0,0.4065,,none,0,0,0,0,0,0
15,scenario_00015,base3.inp,0,0,1,-1,1,0,-1.0,0.4685,,none,0,0,0,0,0,0
16,scenario_00016,base3.inp,0,1,0,-1,1,0,-1.0,0.5466,,none,0,0,0,0,0,0
17,scenario_00017,base3.inp,0,0,1,-1,1,0,-1.0,0.4331,,none,0,0,0,0,0,0
18,scenario_00018,base3.inp,0,1,0,-1,5,0,-1.0,0.4984,,none,0,0,0,0,0,0
19,scenario_00019,base3.inp,0,0,1,-1,1,0,-1.0,0.3462,,none,0,0,0,0,0,0
20,scenario_00020,base3.inp,0,1,0,-1,3,0,-1.0,0.5459,,none,0,0,0,0,0,0
21,scenario_00021,base3.inp,0,0,1,-1,1,0,-1.0,0.4037,,none,0,0,0,0,0,0
22,scenario_00022,base3.inp,0,0,1,-1,1,0,-1.0,0.3654,,none,0,0,0,0,0,0
23,scenario_00023,base3.inp,0,1,0,-1,5,0,-1.0,0.5193,,none,0,0,0,0,0,0
24,scenario_00024,base3.inp,0,0,1,-1,1,0,-1.0,0.3234,,none,0,0,0,0,0,0
25,scenario_00025,base3.inp,0,0,1,-1,1,0,-1.0,0.3804,,none,0,0,0,0,0,0
26,scenario_00026,base3.inp,0,1,0,-1,1,0,-1.0,0.5122,,none,0,0,0,0,0,0
27,scenario_00027,base3.inp,0,0,1,-1,1,0,-1.0,0.4005,,none,0,0,0,0,0,0
28,scenario_00028,base3.inp,0,1,0,-1,5,0,-1.0,0.5352,,none,0,0,0,0,0,0
29,scenario_00029,base3.inp,0,0,1,-1,5,0,-1.0,0.3834,,none,0,0,0,0,0,0
30,scenario_00030,base3.inp,0,1,0,-1,4,0,-1.0,0.6394,,none,0,0,0,0,0,0
31,scenario_00031,base3.inp,0,1,0,-1,4,0,-1.0,0.6379,,none,0,0,0,0,0,0
32,scenario_00032,base3.inp,0,1,0,-1,5,0,-1.0,0.5084,,none,0,0,0,0,0,0
33,scenario_00033,base3.inp,0,0,1,-1,1,0,-1.0,0.3457,,none,0,0,0,0,0,0
34,scenario_00034,base3.inp,0,1,0,-1,5,0,-1.0,0.4414,,none,0,0,0,0,0,0
35,scenario_00035,base3.inp,0,0,1,-1,1,0,-1.0,0.3773,,none,0,0,0,0,0,0
36,scenario_00036,base3.inp,0,1,0,-1,2,0,-1.0,0.5256,,none,0,0,0,0,0,0
37,scenario_00037,base3.inp,0,0,1,-1,1,0,-1.0,0.3958,,none,0,0,0,0,0,0
38,scenario_00038,base3.inp,0,0,1,-1,1,0,-1.0,0.4199,,none,0,0,0,0,0,0
39,scenario_00039,base3.inp,0,0,1,-1,1,0,-1.0,0.4042,,none,0,0,0,0,0,0
40,scenario_00040,base3.inp,0,1,0,-1,4,0,-1.0,0.507,,none,0,0,0,0,0,0
41,scenario_00041,base3.inp,0,0,1,-1,1,0,-1.0,0.3496,,none,0,0,0,0,0,0
42,scenario_00042,base3.inp,0,1,0,-1,5,0,-1.0,0.4227,,none,0,0,0,0,0,0
43,scenario_00043,base3.inp,0,1,0,-1,1,0,-1.0,0.4754,,none,0,0,0,0,0,0
44,scenario_00044,base3.inp,0,0,1,-1,1,0,-1.0,0.5413,,none,0,0,0,0,0,0
45,scenario_00045,base3.inp,0,1,0,-1,1,0,-1.0,0.4614,,none,0,0,0,0,0,0
46,scenario_00046,base3.inp,0,1,0,-1,5,0,-1.0,0.4883,,none,0,0,0,0,0,0
47,scenario_00047,base3.inp,0,0,1,-1,1,0,-1.0,0.3471,,none,0,0,0,0,0,0
48,scenario_00048,base3.inp,0,1,0,-1,3,0,-1.0,0.5355,,none,0,0,0,0,0,0
49,scenario_00049,base3.inp,0,0,1,-1,1,0,-1.0,0.4035,,none,0,0,0,0,0,0
50,scenario_00050,base3.inp,0,0,1,-1,1,0,-1.0,0.3595,,none,0,0,0,0,0,0
51,scenario_00051,base3.inp,1,0,0,1,5,0,0.2,0.398,,S,0,1,1,0,1,1
52,scenario_00052,base3.inp,1,1,1,1,4,0,0.2,0.6597,,S,0,1,1,0,1,1
53,scenario_00053,base3.inp,1,1,1,1,4,0,0.2,0.6422,,S,0,1,1,0,1,1
54,scenario_00054,base3.inp,1,1,1,1,3,0,0.2,0.5331,,S,0,1,1,0,1,1
55,scenario_00055,base3.inp,1,0,0,1,1,1,0.2,0.3824,0.1824,S,1,0,0,1,0,0
56,scenario_00056,base3.inp,1,1,1,1,5,0,0.2,0.4589,,S,0,1,1,0,1,1
57,scenario_00057,base3.inp,1,0,0,1,1,1,0.2,0.3979,0.1979,S,1,0,0,1,0,0
58,scenario_00058,base3.inp,1,1,1,1,2,0,0.2,0.539,,S,0,1,1,0,1,1
59,scenario_00059,base3.inp,1,0,0,1,1,1,0.2,0.4108,0.2108,S,1,0,0,1,0,0
60,scenario_00060,base3.inp,1,0,0,1,1,1,0.2,0.4013,0.2013,S,1,0,0,1,0,0
61,scenario_00061,base3.inp,1,0,0,1,1,1,0.2,0.4267,0.2267,S,1,0,0,1,0,0
62,scenario_00062,base3.inp,1,1,1,1,4,0,0.2,0.5207,,S,0,1,1,0,1,1
63,scenario_00063,base3.inp,1,0,0,1,1,1,0.2,0.3686,0.1686,S,1,0,0,1,0,0
64,scenario_00064,base3.inp,1,1,1,1,5,0,0.2,0.4139,,S,0,1,1,0,1,1
65,scenario_00065,base3.inp,1,1,1,1,5,0,0.2,0.4233,,M,0,1,1,0,1,1
66,scenario_00066,base3.inp,1,1,1,1,4,0,0.2,0.6585,,M,0,1,1,0,1,1
67,scenario_00067,base3.inp,1,1,1,1,4,0,0.2,0.641,,M,0,1,1,0,1,1
68,scenario_00068,base3.inp,1,1,1,1,3,0,0.2,0.5378,,M,0,1,1,0,1,1
69,scenario_00069,base3.inp,1,0,0,1,1,1,0.2,0.4184,0.2184,M,1,0,0,1,0,0
70,scenario_00070,base3.inp,1,1,1,1,5,0,0.2,0.4678,,M,0,1,1,0,1,1
71,scenario_00071,base3.inp,1,0,0,1,1,1,0.2,0.4317,0.2317,M,1,0,0,1,0,0
72,scenario_00072,base3.inp,1,1,1,1,2,0,0.2,0.5364,,M,0,1,1,0,1,1
73,scenario_00073,base3.inp,1,0,0,1,1,1,0.2,0.4356,0.2356,M,1,0,0,1,0,0
74,scenario_00074,base3.inp,1,0,0,1,1,1,0.2,0.41,0.21,M,1,0,0,1,0,0
75,scenario_00075,base3.inp,1,1,1,1,1,1,0.2,0.4637,0.2637,M,1,0,0,0,1,1
76,scenario_00076,base3.inp,1,1,1,1,4,0,0.2,0.5228,,M,0,1,1,0,1,1
77,scenario_00077,base3.inp,1,0,0,1,1,1,0.2,0.4006,0.2006,M,1,0,0,1,0,0
78,scenario_00078,base3.inp,1,1,1,1,5,0,0.2,0.4253,,M,0,1,1,0,1,1
79,scenario_00079,base3.inp,1,1,1,1,5,0,0.2,0.4475,,L,0,1,1,0,1,1
