configuration,placement_strategy,k_budget,model_name,pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
"P2, P3, P4, P5, P6, Q1a, Q2a, Q3a, Q4a, Q5a",full instrumentation baseline,10,S10-A,1,144,11,24,0.929,0.8571,0.8916,168,155
"P2, P3, P4, P5, P6, Q1a, Q2a, Q3a, Q4a, Q5a",full instrumentation baseline,10,S10-A,2,158,14,10,0.9186,0.9405,0.9294,168,172
"P2, P3, P4, P5, P6, Q1a, Q2a, Q3a, Q4a, Q5a",full instrumentation baseline,10,S10-A,3,168,9,0,0.9492,1.0,0.9739,168,177
"P2, P3, P4, P5, P6, Q1a, Q2a, Q3a, Q4a, Q5a",full instrumentation baseline,10,S10-A,4,168,16,0,0.913,1.0,0.9545,168,184
"P2, P3, P4, P5, P6, Q1a, Q2a, Q3a, Q4a, Q5a",full instrumentation baseline,10,S10-A,5,168,2,0,0.9882,1.0,0.9941,168,170
"P2, P4, P5, P6, Q1a, Q2a, Q4a, Q5a",Coverage,8,S8-A,1,151,11,17,0.9321,0.8988,0.9152,168,162
"P2, P4, P5, P6, Q1a, Q2a, Q4a, Q5a",Coverage,8,S8-A,2,103,6,65,0.945,0.6131,0.7437,168,109
"P2, P4, P5, P6, Q1a, Q2a, Q4a, Q5a",Coverage,8,S8-A,3,164,81,4,0.6694,0.9762,0.7942,168,245
"P2, P4, P5, P6, Q1a, Q2a, Q4a, Q5a",Coverage,8,S8-A,4,168,2,0,0.9882,1.0,0.9941,168,170
"P2, P4, P5, P6, Q1a, Q2a, Q4a, Q5a",Coverage,8,S8-A,5,168,1,0,0.9941,1.0,0.997,168,169
"P2, P3, P4, P5, Q1a, Q2a, Q3a, Q4a",Clustered Upstream,8,S8-B,1,157,21,11,0.882,0.9345,0.9075,168,178
"P2, P3, P4, P5, Q1a, Q2a, Q3a, Q4a",Clustered Upstream,8,S8-B,2,157,24,11,0.8674,0.9345,0.8997,168,181
"P2, P3, P4, P5, Q1a, Q2a, Q3a, Q4a",Clustered Upstream,8,S8-B,3,96,34,72,0.7385,0.5714,0.6443,168,130
"P2, P3, P4, P5, Q1a, Q2a, Q3a, Q4a",Clustered Upstream,8,S8-B,4,147,9,21,0.9423,0.875,0.9074,168,156
"P2, P3, P4, P5, Q1a, Q2a, Q3a, Q4a",Clustered Upstream,8,S8-B,5,151,67,17,0.6927,0.8988,0.7824,168,218
"P3, P4, P5, P6, Q2a, Q3a, Q4a, Q5a",Clustered Downstream,8,S8-C,1,120,6,48,0.9524,0.7143,0.8163,168,126
"P3, P4, P5, P6, Q2a, Q3a, Q4a, Q5a",Clustered Downstream,8,S8-C,2,159,13,9,0.9244,0.9464,0.9353,168,172
"P3, P4, P5, P6, Q2a, Q3a, Q4a, Q5a",Clustered Downstream,8,S8-C,3,165,53,3,0.7569,0.9821,0.8549,168,218
"P3, P4, P5, P6, Q2a, Q3a, Q4a, Q5a",Clustered Downstream,8,S8-C,4,166,9,2,0.9486,0.9881,0.9679,168,175
"P3, P4, P5, P6, Q2a, Q3a, Q4a, Q5a",Clustered Downstream,8,S8-C,5,168,1,0,0.9941,1.0,0.997,168,169
